sliced_query,midi_suggested,input_confidence,fingerprinted_confidence
288_segment_301.mp3,288_SaintSeiya_OugonDensetsu_01_02MainTheme,0.08,0.03
288_segment_335.mp3,288_SaintSeiya_OugonDensetsu_04_05Planetarium,0.06,0.05
288_segment_290.mp3,288_SaintSeiya_OugonDensetsu_05_06Cave,0.06,0.03
288_segment_69.mp3,288_SaintSeiya_OugonDensetsu_01_02MainTheme,0.08,0.03
288_segment_342.mp3,288_SaintSeiya_OugonDensetsu_03_04IntheHouse,0.07,0.04
288_segment_152.mp3,288_SaintSeiya_OugonDensetsu_03_04IntheHouse,0.07,0.05
288_segment_155.mp3,288_SaintSeiya_OugonDensetsu_05_06Cave,0.07,0.04
288_segment_41.mp3,288_SaintSeiya_OugonDensetsu_03_04IntheHouse,0.06,0.04
288_segment_378.mp3,288_SaintSeiya_OugonDensetsu_03_04IntheHouse,0.07,0.04
288_segment_181.mp3,288_SaintSeiya_OugonDensetsu_01_02MainTheme,0.07,0.03
288_segment_220.mp3,288_SaintSeiya_OugonDensetsu_01_02MainTheme,0.08,0.03
288_segment_330.mp3,288_SaintSeiya_OugonDensetsu_03_04IntheHouse,0.07,0.04
288_segment_308.mp3,288_SaintSeiya_OugonDensetsu_03_04IntheHouse,0.07,0.05
288_segment_63.mp3,288_SaintSeiya_OugonDensetsu_04_05Planetarium,0.07,0.06
288_segment_178.mp3,288_SaintSeiya_OugonDensetsu_04_05Planetarium,5.84,0.03
288_segment_200.mp3,288_SaintSeiya_OugonDensetsu_03_04IntheHouse,0.06,0.06
288_segment_208.mp3,288_SaintSeiya_OugonDensetsu_03_04IntheHouse,0.06,0.05
288_segment_327.mp3,288_SaintSeiya_OugonDensetsu_03_04IntheHouse,0.06,0.04
288_segment_305.mp3,288_SaintSeiya_OugonDensetsu_03_04IntheHouse,0.05,0.04
288_segment_147.mp3,288_SaintSeiya_OugonDensetsu_04_05Planetarium,0.02,0.02
288_segment_144.mp3,288_SaintSeiya_OugonDensetsu_03_04IntheHouse,0.06,0.04
288_segment_162.mp3,288_SaintSeiya_OugonDensetsu_02_03BattleTheme,0.03,0.04
288_segment_260.mp3,288_SaintSeiya_OugonDensetsu_05_06Cave,0.07,0.04
288_segment_2.mp3,288_SaintSeiya_OugonDensetsu_00_01PegasusFantasyTitle,0.15,0.03
288_segment_56.mp3,288_SaintSeiya_OugonDensetsu_07_08Ending,0.11,0.02
288_segment_71.mp3,288_SaintSeiya_OugonDensetsu_05_06Cave,0.04,0.03
288_segment_344.mp3,288_SaintSeiya_OugonDensetsu_03_04IntheHouse,0.07,0.06
288_segment_106.mp3,288_SaintSeiya_OugonDensetsu_03_04IntheHouse,0.07,0.04
288_segment_146.mp3,288_SaintSeiya_OugonDensetsu_03_04IntheHouse,0.14,0.0
288_segment_250.mp3,288_SaintSeiya_OugonDensetsu_07_08Ending,0.18,0.02
288_segment_13.mp3,288_SaintSeiya_OugonDensetsu_04_05Planetarium,0.07,0.04
288_segment_347.mp3,288_SaintSeiya_OugonDensetsu_07_08Ending,0.21,0.03
288_segment_293.mp3,288_SaintSeiya_OugonDensetsu_04_05Planetarium,0.28,0.03
288_segment_95.mp3,288_SaintSeiya_OugonDensetsu_04_05Planetarium,0.17,0.05
288_segment_182.mp3,288_SaintSeiya_OugonDensetsu_05_06Cave,0.04,0.03
288_segment_75.mp3,288_SaintSeiya_OugonDensetsu_01_02MainTheme,0.07,0.02
288_segment_53.mp3,288_SaintSeiya_OugonDensetsu_04_05Planetarium,0.04,0.05
288_segment_88.mp3,288_SaintSeiya_OugonDensetsu_05_06Cave,0.07,0.05
288_segment_241.mp3,288_SaintSeiya_OugonDensetsu_05_06Cave,0.07,0.05
288_segment_58.mp3,288_SaintSeiya_OugonDensetsu_03_04IntheHouse,0.04,0.02
288_segment_356.mp3,288_SaintSeiya_OugonDensetsu_03_04IntheHouse,0.06,0.05
288_segment_52.mp3,288_SaintSeiya_OugonDensetsu_01_02MainTheme,0.08,0.03
288_segment_141.mp3,288_SaintSeiya_OugonDensetsu_04_05Planetarium,0.05,0.05
288_segment_279.mp3,288_SaintSeiya_OugonDensetsu_03_04IntheHouse,0.06,0.04
288_segment_175.mp3,288_SaintSeiya_OugonDensetsu_05_06Cave,0.07,0.05
288_segment_226.mp3,288_SaintSeiya_OugonDensetsu_04_05Planetarium,0.12,0.06
288_segment_46.mp3,288_SaintSeiya_OugonDensetsu_04_05Planetarium,0.21,0.04
288_segment_361.mp3,288_SaintSeiya_OugonDensetsu_04_05Planetarium,0.04,0.05
288_segment_165.mp3,288_SaintSeiya_OugonDensetsu_05_06Cave,0.05,0.03
288_segment_321.mp3,288_SaintSeiya_OugonDensetsu_01_02MainTheme,0.08,0.02
288_segment_202.mp3,288_SaintSeiya_OugonDensetsu_05_06Cave,0.06,0.04
288_segment_295.mp3,288_SaintSeiya_OugonDensetsu_04_05Planetarium,1.38,0.01
288_segment_92.mp3,288_SaintSeiya_OugonDensetsu_05_06Cave,0.08,0.04
288_segment_163.mp3,288_SaintSeiya_OugonDensetsu_03_04IntheHouse,0.04,0.03
288_segment_177.mp3,288_SaintSeiya_OugonDensetsu_04_05Planetarium,0.23,0.03
288_segment_358.mp3,288_SaintSeiya_OugonDensetsu_05_06Cave,0.07,0.04
288_segment_127.mp3,288_SaintSeiya_OugonDensetsu_01_02MainTheme,0.08,0.03
288_segment_36.mp3,288_SaintSeiya_OugonDensetsu_04_05Planetarium,0.08,0.05
288_segment_278.mp3,288_SaintSeiya_OugonDensetsu_03_04IntheHouse,0.07,0.05
